conv_index,model_type,decoding,context,knowledge,response,Avg Factual Correctness,Hallucination,Verifiable
1013,GPT2-small,nucleus,"A: I am going to see the Canadian rock band Nickelback soon! <br>B: I like to go to canada trip. can you tell more about that place <br>A: Well the bank Nickelback is from Hanna, Alberta Canada and their lead singer and guitarist is Chad Kroeger <br>B: Good buddy.what special in album <br>A: They released a great album called ""The State"" in 2000 album and it achieved commercial success <br>B: Nickelback is a Canadian rock band formed in 1995 in Hanna, Alberta, Canada. <br>","""Now That's What I Call Music! 44"", which has sold 2.3 million copies and remains the biggest selling various artists compilation album in the UK. 2008's ""Now That's What I Call Music! 70"" sold 383,002 units in the first week of sales, the biggest ever first week sale of any ""Now"" album. Now That's What I Call Music! 87 holds the achievement for the most songs released on a Now album, featuring 47 songs in total. As of 2018, the most featured artist was Robbie Williams with 30 singles, followed by Rihanna and Calvin Harris with 27, David Guetta with",They are a Canadian band. They have sold 2.3 million copies and remains the biggest selling artists compilation album in the UK,0.5,Yes,y
566,GPT2-large,nucleus,"A: I dont know anyone with a Bachelors in nursing. <br>B: i dont either. The Bachelor of Science in Nursing also known in some countries as a Bachelor of Nursing <br>A: Yea seems more like a woman dominant field. <br>B: Yeah and somtimes, The course of study is typically 3 or 4 years. <br>A: Oh do they not need anything like medical school experience <br>","Bachelor of General Studies A Bachelor of General Studies (BGS) is an undergraduate degree offered by many colleges and universities in the Western world. The history of the general studies concept is coeval with that of the medieval European university (where it existed under the formal Latin designation ""Studium generale""). The BGS offers students the ability to design a unique degree plan while meeting their academic institution's general requirements. This flexibility allows students to complete a bachelor's degree that offers an element of individualism absent in many other degrees specific to a particular discipline. A BGS holds the same value","Yes, they do not need that.  The BGS is an undergraduate degree offered by many colleges and universities in the Western world.",1.0,No,y
207,GPT2-xlarge,nucleus,"A: Pit bulls are great dogs, but quite often they are misunderstood. <br>B: I have always wondered where the name pit bull came from as a name of a breed of dog. <br>A: Pit bulls are a descendant of bulldogs! Maybe that's where the ""bull"" comes from. What do you think? <br>B: Pit Bulls were originally developed as fighting dogs, so i'm sure that is how they received their reputation. <br>A: They do sometimes serve as search and rescue and police dogs, so they do have a purpose. I have friends that own them and they are wonderful pets if trained correctly. <br>","have remained low in Britain. Very few survived the Second World War, but the gene-pool has gradually been replenished with imports from America. Nevertheless, because of UK quarantine restrictions, importing was expensive and difficult, throughout the 20th century, and in the post-war period exports to the USA, and to Europe where the population had also been affected by the war, considerably exceeded imports. During the later 19th century numbers of Bloodhounds were imported from Britain by French enthusiasts, who regretted the extinction of the ancient St Hubert. They wished to re-establish it, using the Bloodhound, which, despite its developments in","I like pit bulls too, but I think the term pit bull originated from bulldogs. I guess that's why they are so popular in the UK.",0.5,Yes,y
379,GPT2-large,nucleus,"A: I am dying to go on vacay to New York City, its the most populous city in the US <br>B: I have never been.  What do you recommend I do if I visit? <br>A: Go see the headquarters of the United Nations for sure <br>B: Wow!  That would be amazing to see!  Do you actually get to see delegates? <br>A: I am not sure but can you believe one city has 23.7 million residents? <br>B: l would never have guessed that many!  Aren't there a lot of good plays to see there? <br>","Angeles, Chicago, Dallas, Houston, Philadelphia, Washington, Miami, Atlanta, and Boston, with New York City being the largest. The smallest is Carson City, Nevada. The capital city, Kabul, has grown to become the country's sole metropolis, and is the only city with more than one million people. In the People's Republic of Bangladesh, there are eleven metropolitan areas: Dhaka North, Dhaka South, Gazipur, Chittagong, Rajshahi, Khulna, Sylhet, Barisal, and Rangpur. Lands are highly priced and residents are considered to have a better urban lifestyle. Special police departments are allotted for the metropolitan cities, and there are city corporations for which mayors",Yes and you can see everything from the beach to the art museums,0.0,Yes,y
1736,GPT2-xlarge,nucleus,"A: I am glad I dont have any medical bills, but I know someone who has thousands of dollars worth of them <br>B: Well that's why health insurance is important. <br>A: But doesn't health insurance only cover so much, or is there insurance out there that covers it all <br>B: Well it's normally a small fraction versus the whole bill. <br>A: I see, I wonder how much debt most people are in due to medical bills <br>","became a top employee (one year, he fulfilled his annual sales quota in a mere two weeks) and tried to pitch his ideas to supervisors, who largely ignored him. He left IBM in 1962 to found Electronic Data Systems (EDS) in Dallas, Texas, and courted large corporations for his data processing services. Perot was refused 77 times before he was given his first contract. EDS received lucrative contracts from the U.S. government in the 1960s, computerizing Medicare records. EDS went public in 1968 and the stock price rose from $16 a share to $160 within days. ""Fortune"" called Perot the",I don't know. I do know that a lot of medical bills are due to people who are in the top 5% of employees.,0.166666667,No,y
1199,GPT2-medium,DBS,"A: I really enjoy a fun day of skiing! I don't do it competitively though. <br>B: water skiing or snow skiing? <br>A: Water skiing is my preferred type of skiing! I love being out on the water. <br>B: Oh ok what do they call it when you ski on one ski? <br>A: I'm not sure if I ever heard of skiing on only one ski, but I do know there is Asymmetrical skis that were used until 19th century Sweden. <br>B: Nice, I know very little about skiing what else can you tell me? <br>","History of skiing Skiing, or traveling over snow on skis, has a history of at least eight millennia. The earliest archaeological examples of skis were found in Russia and date to 6000 BCE. Although modern skiing has evolved from beginnings in Scandinavia, 5000-year-old wall paintings suggest use of skis in the Xinjiang region of what is now China. Originally purely utilitarian, starting in the mid-1800s skiing became a popular recreational activity and sport, becoming practiced in snow-covered regions worldwide, and providing a market for the development of ski resorts and their related communities. The word ""ski"" comes from the Old",Skiing has been around for eight millennia!,1.0,No,y
207,GPT2-large,DBS,"A: Pit bulls are great dogs, but quite often they are misunderstood. <br>B: I have always wondered where the name pit bull came from as a name of a breed of dog. <br>A: Pit bulls are a descendant of bulldogs! Maybe that's where the ""bull"" comes from. What do you think? <br>B: Pit Bulls were originally developed as fighting dogs, so i'm sure that is how they received their reputation. <br>A: They do sometimes serve as search and rescue and police dogs, so they do have a purpose. I have friends that own them and they are wonderful pets if trained correctly. <br>","have remained low in Britain. Very few survived the Second World War, but the gene-pool has gradually been replenished with imports from America. Nevertheless, because of UK quarantine restrictions, importing was expensive and difficult, throughout the 20th century, and in the post-war period exports to the USA, and to Europe where the population had also been affected by the war, considerably exceeded imports. During the later 19th century numbers of Bloodhounds were imported from Britain by French enthusiasts, who regretted the extinction of the ancient St Hubert. They wished to re-establish it, using the Bloodhound, which, despite its developments in","Yes, they are great pets. They are low in population in Britain due to quarantine restrictions.",0.5,Yes,y
792,GPT2-xlarge,DBS,"A: My brother is into entomology. Do you know much about it? <br>B: I know that it is the study of insects, which is a branch of zoology.  Did he go to college for it, or is it just a pasttime for him? <br>A: It is just a pastime for him, but he also has considered taking classes for it so he can go into it professionally. <br>B: There are 1.3 million species of insects, so there is a lot for him to study if he chooses to. <br>A: I had no idea there were so many <br>","to international scientific literature and for internationally recognized scientific symbols. As a profession, the scientist of today is widely recognized. In modern times, many professional scientists are trained in an academic setting (e.g., universities and research institutes), mostly at the level of graduate schools. Upon completion, they would normally attain an academic degree, with the highest degree being a doctorate such as a Doctor of Philosophy (PhD), Doctor of Medicine (MD), Doctor of Engineering (DEng), or even a dual doctoral degree (e.g., MD, PhD). Although graduate education for scientists varies among institutions and countries, some common training requirements include specializing",That's a lot of insects to study!  There are also many scientific symbols that are used to identify insects.,0.5,Yes,y
766,GPT2-large,beam search,A: Horse training is interesting. It can cause a horse to do incredible things! <br>B: I've trained horses to help my family with farm work before <br>A: That's great. Were they tame or did they race? <br>B: Tame horses and wild horses both race. <br>A: That's cool. Did any of your horses win any races? <br>,"James Butler (grocer) James Butler (1855 – February 20, 1934) was an American businessman from New York and prominent owner of racehorses and racetracks. As a hotel steward in the early 1880s, Butler invested his $2,000 life savings with Patrick J. O'Connor (the son of his landlady) to open a grocery store on Second Avenue in New York. The business grew to a chain of stores so successful that Butler quit the hotel business and bought out O'Connor. Butler had a reputed net worth of $30 million by 1929. By 1890, Butler had bought his first horses, and eventually acquired",James Butler won a lot of races.,0.5,No,y
1123,GPT2-medium,DBS,"A: I love history, I wish I knew more about Genghis Khan, he seems very interesting. <br>B: Yes it is. Do you know much about  the Great Khan and founder of the Mongol Empire, which became the largest contiguous empire in history after his death. <br>A: How did he started his empire ? <br>B: Very interesting, his strategy was by uniting all the  nomadic tribes of  Northeast Asia <br>A: Did he ever attacked China ? <br>","the Mongol homeland under the leadership of Genghis Khan, whom a council proclaimed ruler of all the Mongols in 1206. The empire grew rapidly under his rule and that of his descendants, who sent invasions in every direction. The vast transcontinental empire connected the East with the West with an enforced ""Pax Mongolica"", allowing the dissemination and exchange of trade, technologies, commodities and ideologies across Eurasia. The empire began to split due to wars over succession, as the grandchildren of Genghis Khan disputed whether the royal line should follow from his son and initial heir Ögedei or from one of","I am not sure about that, but I do know that he was the leader of all  of the nomads in the Mongolia homeland",0.833333333,No,y
1431,GPT2-small,DBS,"A: i think skiing is for rich people <br>B: Same here, I've never tried skiing whether it was for recreation or for transport. <br>A: yeah the equipment is too expensive, even if you rent <br>B: Exactly. That's why I just stick to watching competitive skiing occasionally. <br>A: that's cool do you have any favorite skiers? <br>","(precession of the equinoxes as the root cause of the astrological ages) Ray Grasse states in ""Signs of the Times - Unlocking the Symbolic Language of World Events"" that ""there is considerable dispute over the exact starting and ending times for the different Great Ages."" Paul Wright in ""The Great Ages and Other Astrological Cycles"" believes that much of the uncertainty related to the astrological ages is because many astrologers have a poor understanding of the meaning of the astrological symbolism and ""even poorer historical knowledge"". Though so many issues are contentious or disputed, there are two aspects of the","I don't really have a favorite skier, but I do know that there is disagreement over the beginning and end times for different great ages.",0.333333333,Yes,y
