conv_index,model_type,decoding,context,knowledge,response,Avg Factual Correctness,Hallucination,Verifiable
0,GPT2-small,nucleus,"A: i love accounting due to the measurement, processing and communication of financial information about economic entities<br>B: i have taken some accounting classes in school<br>A: the modern field was esetablished by the italian mathematician luca pacioli in 1494<br>B: i have never heard of Luca Pacioli, so he came up with accounting?<br>A: yes , and accounting has been called the language of business, meaures the results of an organization's economic acitivites and conveyes this information to a variety of users<br>B: i was going to be an accountant but other things came up, i wished i have stuck with it<br>","Accounting The terms ""accounting"" and ""financial reporting"" are often used as synonyms.",the term accounting and financial reporting are often used as synonyms,1.0,No,y
1,GPT2-small,nucleus,"A: When was discovery channel formed?<br>B: In 1985 but you can refer to it as simply Discovery)<br>A: Is it government owned?<br>B: No actually,  it is television property of Discovery Communications, a publicly traded company<br>A: Thats awesome. Who founded the company?<br>","Discovery Channel Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.","Discovery Channel was founded by Jerry Seinfeld, but  it is now known as Discovery Channel",0.17,Yes,y
2,GPT2-small,nucleus,"A: I don't hunt but my husband does. He hunts mainly deer and turkey. Do you hunt?<br>B: I do not hunt, but most people who do hunt do it in order to get food, to get rid of predators, for trade or as a recreation. <br>A: My husband does it for food. He doesn't like to buy chemical-laden meat, so he kills the animal/bird and freezes the meat. I'm vegetarian, so I don't partake in any of this!<br>B: How funny. I'm a vegetarian, too! People become vegetarian for health reasons, economic ones, preferences , cultural reasons and more. It is good that he eats the meat, to me that is different than people just doing it for fun. <br>A: I wouldn't allow him to kill things for fun. I'd prefer he didn't hunt or eat meat, but that's his thing. I don't cook meat though - if he wants it he can cook it himself!<br>","Vegetarianism There are variations of the diet as well: an ovo-lacto vegetarian diet includes both eggs and dairy products, an ovo-vegetarian diet includes eggs but not dairy products, and a lacto-vegetarian diet includes dairy products but not eggs.","I don't cook meat myself, I like to eat eggs, dairy and other things.",1.0,No,n
3,GPT2-small,nucleus,A: I don't like the sport or act of hunting. I had thinking of animals being trapped and killed.<br>B: Yeah same for me i cant stand any time of hunting or animal cruelty<br>A: Hunting wildlife is primarily done by humans for food and recreation. I don't think its acceptable to hunt for recreation at all.<br>B: I know i am totally on the same page i cannot believe it is allowed to have animals as trophies<br>A: There is a distinction between lawful hunting and poaching. Poaching is illegal.<br>B: Yeah but still i think the idea of shooting animals for sport is really cruel<br>,Hunting Hunting can also be a means of pest control.,It is really cruel to kill animals for food and entertainment.,0.33,No,n
4,GPT2-small,nucleus,"A: My favorite color is green because its right between blue and yellow. What is yours?<br>B: I have a wide variety of colors, but find blue to be my favorite.<br>A: Blue is good too. There is so much green to love because of chlorophyll in nature. <br>B: Well blue is the color of the sky and water and I feel like it is a calming color.  Green is great also!<br>A: Yes this is true! I also like that green is the color of Ireland because I'm Irish. <br>B: Hey did you know that people that like green means you like money, life and harmony!<br>","Green In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.",Yep! That's right! The Middle Ages and Renaissance is when green was associated with nobility.,0.0,Yes,y
5,GPT2-small,nucleus,"A: Do you like the tv show The Walking Dead? I forget what channel it's on.<br>B: Ive never been a huge fan, but my boyfriend likes it. Its an american horror show on AMC<br>A: I like Sci Fi shows and this is more post apocalyptic zombies called walkers. It took me awhile to get into it.<br>B: It has been around for a while. It started airing on halloween 2010. It also shows internatioanlly on fox<br>A: It takes place around Atlanta, GA and Alexandria VA .  And I like the lead character actor, Rick Grimes, real name Andrew Lincoln<br>","Rick Grimes Rick Grimes is a fictional character and the protagonist in the comic book series ""The Walking Dead"" and the television series of the same name, portrayed by Andrew Lincoln.","I love the character, Rick Grimes. He is a fictional character and the protagonist in the comic book series ""The Walking Dead""",1.0,No,y
6,GPT2-small,nucleus,"A: I have always wanted to visit Ireland. I wonder what it is like.<br>B: Ireland is comprised of relatively low-lying mountains surrounding a central plain, with several navigable rivers extending inland.<br>A: I always see so much greenery and land when I see pictures of it.<br>B: Oh yes, Ireland has lush vegetation which is a product of its mild but changeable climate which is free of extremes in temperature.<br>A: I think it is so magical. I wonder if they really have elves.<br>",Ireland There are twenty-six extant mammal species native to Ireland.,"Yes they do, there are twenty-six extant mammal species native to Ireland.",1.0,No,y
7,GPT2-small,nucleus,"A: My niece recently got into cheerleading. She really seems to enjoy it.<br>B: Nice, does she lead cheerlead for a sports team, like football, or does she do it as a sport of its own, for competition?<br>A: She does it for her high school football team, but she also entered a summer cheer competition because her coach recommended her.<br>B: That's awesome. ESPN has broadcast international cheerleading competitions. It's a serious sport. <br>A: Some people don't think it's a sport, but I definitely disagree. She works very hard!<br>","Cheerleading Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.","Yeah, competitive routines can range anywhere from one to three minutes.",1.0,No,y
8,GPT2-small,nucleus,"A: Have you ever been to Ireland? Ive seen pictures from a friend who went and it looks pretty<br>B: No I have never been there but I would love to visit this island in the North Atlantic. I agree that it looks beautiful!<br>A: Yes! Is there many mountains there? <br>B: The geography is mostly low lying mountains which surround a central plain and many rivers extending inland.<br>A: Oh I see, are the rivers freshwater?<br>","Ireland The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.","Yes they are. The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",1.0,No,y
9,GPT2-small,nucleus,"A: My mother met Elvis.<br>B: Really> Elvis was very talented he sang, was an actor and musician, tell me more about it!<br>A: Yes, it was before I was born, but she told me about it.<br>B: I have always heard of Elvis as the King of Rock! He was an icon<br>A: Yes. I have seen a few of his movies.<br>","Elvis Presley Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.","He was born in Tupelo, Mississippi, and moved to Memphis, TN, with his family when he was 13 years old",1.0,No,y
10,GPT2-small,nucleus,"A: I know absolutely nothing about archery, but would be interested in your views on it.<br>B: It is really very fun. It can be considered a sport or a skill where a bow is used to propel arrows.<br>A: Hmm. Do you go to classes? It sound like such fun - I've seen it in movies but not really thought much about it.<br>B: I do not. It used to be mainly for hunting and fighting, but not anymore.<br>A: Perhaps I should give it a go, not for hunting but for sport. My husband does bow hunt, if that's a similar sort of thing. He seems to be quite good at it.<br>","Archery In modern times, it is mainly a competitive sport and recreational activity.","Yes, he does.  I wonder if he has a competitive sport, or if he just focuses on it for fun.",0.5,No,n
11,GPT2-small,nucleus,"A: H buddy, Skiling means transport uses skis to glide on snow<br>B: Have you ever skied? I have done it and it is lots of fun. I can't do steep slopes but it is great to be out on the white snow!<br>A: Yes of course. Are you interested in water skiing. An individual is pulled behind a boat.<br>B: That sounds like it is quite difficult to learn. I prefer to jetski. I like to follow behind boats and crest the waves.<br>A: Very good.Skurfing as a sport has two common forms: water skufing and street skurfing<br>B: I never heard of skurfing before. What exactly is it? Is it like surfing?<br>",Skurfing (sport) The skurfer is towed behind a motorboat at planing speed with a tow rope similar to that of Knee Boarding and wakeboarding.,It is similar to surf but you are towed behind a motorboat.,1.0,No,y
12,GPT2-small,nucleus,"A: Archery is so cool to watch! It is the use of a bow to propel arrows.<br>B: Wow, i have watched it a few times but i don't know much about it could you tell me more<br>A: Well way back in history, archery was less a sport and more a means of hunting and combat.<br>B: How far back does archery date? im curious when did we start using them bow<br>A: Well I'm not sure how old it is, but I know that in Latin it is known as ""arcus"".<br>B: Interesting, what type of animals can you normally hunt with a bow?<br>","Archery A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.","Well, in fact, a person who is a bowman is usually called an archer or a ""bowman"".",1.0,No,n
13,GPT2-small,nucleus,"A: I like Irish coffee it has coffee Irish whisky and sugar in it with cream<br>B: I had never heard of it before! I don't drink coffee often. But it makes since that Irish coffee would have whiskey in it. Anything else you could tell me about it that might turn me on to it?<br>A: Well it is supposedly invented by Joe Sheridan who was the head chef at an airport resurant. He gave travelers coffee with whisky to warm them up<br>B: That is really, really, interesting. What a smart decision by him, as I'm sure many people would have requested that. Anything else that would make it sound yummy?<br>A: Well it was brought to the US by Stanton Delaplane who drank it too much and passed out one night. <br>B: That is hilarious, and totally expected too. Wish I could have seen that happen. What makes Irish coffee unique?<br>","Irish coffee ""Irish coffee"" is also sometimes used colloquially to refer to any alcoholic coffee drink.",Well Irish coffee is often used colloquially to refer to any alcoholic drink,0.83,No,n
