conv_index,dial_index,model_type,decoding,context,knowledge,response,Avg Factual Correctness,Hallucination,Verifiable
1199,4,GPT2-small,DBS,"A: I really enjoy a fun day of skiing! I don't do it competitively though. <br>B: water skiing or snow skiing? <br>A: Water skiing is my preferred type of skiing! I love being out on the water. <br>B: Oh ok what do they call it when you ski on one ski? <br>A: I'm not sure if I ever heard of skiing on only one ski, but I do know there is Asymmetrical skis that were used until 19th century Sweden. <br>B: Nice, I know very little about skiing what else can you tell me? <br>","Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.","Well, modern skiing may have evolved from Scandinavia.",0.833333333,No,y
1810,1,GPT2-medium,nucleus,A: The Insane Clown Posse is so insane. Who are these guys? <br>B: Funny you ask! My daughter introduced me to them last week. They are an American hip hop duo. One is named Violent J and the other Shaggy 2 Dope. I was speechless after listening to them! <br>A: Haha. I came across the Insane Clown Posse on the internet and they are so fascinatingly weird. What else do you know about them? <br>B: They were founded in 1989 in Detroit and their hip hop style is known as horrorcore and they love to give a good show! <br>A: Wow Insane Clown Posse has been around for that long? It is hard to stay that relevant in music these days. <br>,"The album became a sleeper hit with the help of five singles that attained chart success, including the ""Billboard"" hit ""Harder to Breathe"" and international hits ""This Love"" and ""She Will Be Loved"".","I'm sure they are still relevant. I know they got a lot of hits, including the Billboard hit ""Harder to Breathe"" and the international hits ""This Love"" and ""She Will",1.0,No,y
611,1,GPT2-small,DBS,"A: Everyone in my family has to wear glasses except for me. Do you wear them? <br>B: Yes, but I only wear them for vision correction, reading glasses, and I wear sunglasses. <br>A: Seems like a good few reasons. What else do you know about them? <br>B: They are traditionally known as eye glass or spectacles and they consist of glass of hard plastic which is mounted in a fame that holds them over a person's eyes, using the bride of the nose and the ears. <br>A: That's interesting! How long have they been around? <br>",Safety glasses provide eye protection against flying debris for construction workers or lab technicians; these glasses may have protection for the sides of the eyes as well as in the lenses.,"I'm not sure, but they have been around for a long time. They provide protection from flying debris as well.",0.666666667,No,y
394,3,GPT2-small,DBS,"A: I absolutely love beef, it's probably one of my favorite foods! What's your favorite food to make with beef? <br>B: I don't  make it, but I love to eat it: Kobe Beef! Fancy Japanese style. Have you had it? <br>A: Yes, Kobe Beef is awesome, the taste is so invigorating! <br>B: It is! It comes from a specific breed of Wagyu cattle that is bred in Japan. Most Kobe in the United States is actually mislabeled. <br>A: Kobe beef <br>","Kobe beef is also called , or in Japanese.","Yes, it is called kobe beef. It's also called beef in Japanese!",1.0,No,y
887,1,GPT2-medium,beam search,"A: I have been learning to speak hindu! <br>B: Wow, do you identify with the local South Asian population? What was your motivation for learning? <br>A: I just have a few friends and want to impress this boy... <br>B: Well interesting! The meaning of the term ""Hindu"" has evolved over time. How fluent are you? <br>A: I have only just started a few weeks ago, Are you fluent? <br>","This Hindu Personal Law or modern Hindu law is an extension of the Anglo-Hindu Law developed during the British colonial period in India, which is in turn related to the less well-defined tradition of Classical Hindu Law.","I am not fluent, but I do know that Hindu law was developed during British colonial India.",1.0,No,y
453,1,GPT2-large,DBS,"A: Im really harsh with my inner critical voice. <br>B: Oh that sounds terrible... Why is that? <br>A: I just have low self esteem and have trouble dealing with my depression. <br>B: Do you take like medication for it? Its much more common then you would think <br>A: No, my main approach has been working with an inncer critic psychotherapists. <br>B: Oh okay, Im not sure what that is <br>","Raymond Hamden, doctor of Clinical and Forensic Psychology, defines the purpose of method acting as “compartmentalizing their own feelings while playing another character [so] they could bring the emotions of that personal feeling to cry if they needed to with that character.”  However, when these emotions are not compartmentalized, they can encroach on other facets of life, often seeming to disrupt the actor’s psyche.",It is a method to help people with their feelings.,0.5,No,y
243,1,GPT2-small,DBS,"A: Nagini is a name of lizard <br>B: What a cool name. I've read the Komodo dragon can reach up to 3 metres in length! <br>A: Is Komoda dragon a type of lizard specie? <br>B: It sure is, it's also known as the Komodo Monitor <br>A: Do you know how long they've been in existence? <br>",6.1% of all evaluated invertebrate species are listed as near threatened.,"I'm not sure, but I do know that 6.1 percent of all invertebrates are threatened",0.833333333,No,y
638,1,GPT2-xlarge,DBS,"A: Do you enjoy italian food? <br>B: Yes I love Italian food.  What is your favorite? <br>A: I'm a big fan of lasagna! Although I'm not sure how authentically Italian that is, as how the recipes is the United States how been changed and whatnot. <br>B: I love chicken Parmesan! <br>A: Good choice! Anything with mozzarella and tomato wins me. <br>B: I Love both.  I also like provolone cheese! <br>","Similar to Manchego, this firm cheese has a milky, nutty flavour that goes well with various pear products.","I've never had it, but I've heard it has a nutty taste.",1.0,No,y
1810,1,GPT2-xlarge,DBS,A: The Insane Clown Posse is so insane. Who are these guys? <br>B: Funny you ask! My daughter introduced me to them last week. They are an American hip hop duo. One is named Violent J and the other Shaggy 2 Dope. I was speechless after listening to them! <br>A: Haha. I came across the Insane Clown Posse on the internet and they are so fascinatingly weird. What else do you know about them? <br>B: They were founded in 1989 in Detroit and their hip hop style is known as horrorcore and they love to give a good show! <br>A: Wow Insane Clown Posse has been around for that long? It is hard to stay that relevant in music these days. <br>,"The album became a sleeper hit with the help of five singles that attained chart success, including the ""Billboard"" hit ""Harder to Breathe"" and international hits ""This Love"" and ""She Will Be Loved"".","Yes, they have been around a long time. Their first album was released in 1995 and it was a huge hit. They have had a lot of success since then!",0.166666667,Yes,y
1046,3,GPT2-small,DBS,"A: i love cardiagns, they are knitted and open in the front <br>B: I've never really known what a cardigan is. Is it more of a jacket or what? <br>A: so its like a sweater, open in the front, its often tied like a robe <br>B: Ah that sounds like something I'd like to try on sometime. When were they popularized? <br>A: so coco chanel made them popular because she hated how traditional over the head sweaters messed up her hair <br>B: So that's where that whole craze came from? So simple but it created a whole new piece of clothing, that's cool! <br>","At the same time, she started attending the theatre Ludus, which was at that time still an amateur theatre targeted towards younger audiences with its repertoire and performance of both national and foreign classics.","yea she started at the theatre ludus, it wasnt that long ago",0.666666667,No,y
