conv_index,model_type,decoding,context,knowledge,response,Avg Factual Correctness,Hallucination,Verifiable
960,GPT2-small,DBS,"A: I like Vietnamese cuisine, particularly Pho and Banh Mi which are popular in America. What about you? <br>B: I like it as well, vietamese cusine ecompasses the foods and beverages of vietnam <br>A: What are some other examples of vietnamese cuisine? <br>B: Another example or fact is that each dish has a distincitve flavor which reflects one or more elements <br>A: Cool, do you know what other cuisines influenced Vietnamese cuisine? <br>","Vietnamese cuisine Common ingredients include fish sauce, shrimp paste, soy sauce, rice, fresh herbs, fruit and vegetables.",There are a lot of different ingredients such as fish sauce and shrimp paste,1.0,No,y
1860,GPT2-medium,DBS,"A: I love candy, what's a good brand? <br>B: Dylan's Candy Bar is a great brand of candy <br>A: Oh are they? What kind of candy is it? <br>B: Dylan's Candy Bar is a candy supplier <br>A: Oh I see, what kind of candy do they offer? <br>","Dylan's Candy Bar It stocks 7,000 candies from around the world.",They have over 7000 candies,0.833333333,No,y
1098,GPT2-xlarge,DBS,"A: I work as an accountant, where I measure, process, and communicate financial information about economies to my employer and its clients. <br>B: Do you enjoy it? <br>A: As long as I get paid to be an accounting practitioner, I'll enjoy it, how about that? ;) <br>B: What is the average salary for that type of a position? <br>A: The 2016 median annual salary was $68,150, and this of course varies from state to state with different job markets. <br>B: Do you have to obtain a lot of education in order to get a job like this? <br>","Accounting Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.","I'm not sure, but I do know that accounting can be broken down into several different fields like financial, management, and tax accounting.",0.833333333,No,y
490,GPT2-large,beam search,"A: Hello, do you like puzzles? I enjoy crossword puzzles! <br>B: Yes I do. But I never seem to be able to think of all the words. <br>A: Well, you should try the cryptic crosswords. Each word is it's own puzzle. SO FUN! <br>B: Wow tell me more about this puzzle. Sounds interesting! <br>A: What's awesome about cryptic crosswords is they are usually called ""setters"" in the UK. <br>B: Oh I have to know why. I would like to know how to do this puzzle. <br>","Cryptic crossword Cryptic crossword puzzles come in two main types: the basic cryptic in which each clue answer is entered into the diagram normally, and ""themed"" or ""variety"" cryptics, in which some or all of the answers must be altered before entering, usually in accordance with a hidden pattern or rule which must be discovered by the solver.","There are two types of Cryptic puzzles, the basic and the ""themed"".",0.5,Yes,y
887,GPT2-small,beam search,"A: I have been learning to speak hindu! <br>B: Wow, do you identify with the local South Asian population? What was your motivation for learning? <br>A: I just have a few friends and want to impress this boy... <br>B: Well interesting! The meaning of the term ""Hindu"" has evolved over time. How fluent are you? <br>A: I have only just started a few weeks ago, Are you fluent? <br>","Hindu Competing theories state that Hindu identity developed in the British colonial era, or that it developed post-8th century CE after the Islamic invasion and medieval Hindu-Muslim wars.","I am not, but I do know that Hinduism developed in colonial times.",0.833333333,No,y
802,GPT2-large,nucleus,"A: I am so scared of mountain climbing and things like mountaineering. <br>B: Mountaineering seems to have a varied definition depending on who you ask. Some categorize it as more of climbing while others lump it into more of a hiking/ backpacking thing. <br>A: I am scared of heights. So climbing any mountain would be impossible for me. <br>B: Well then you should definitely never go anywhere near mount everest. It is the highest mountain above sea level. <br>A: I would love to go see it and if I can drive up a mountain then I would be fine, but no climbing for me <br>",David Sharp (mountaineer) David Sharp (15 February 1972 – 15 May 2006) was an English mountaineer who died near the summit of Mount Everest.,Well then you should probably try it. David Sharp died on the summit of Mount Everest.,0.333333333,No,y
1612,GPT2-small,nucleus,"A: Hello! I've been a cheerleader for 10 years. I absolutely love it! <br>B: Sounds cool, I know some cheerleaders and they all love it. <br>A: I bet. It really got popular around 2000 when the movie ""Bring It On"" was released. <br>B: That would make sense, as that was a big movie. <br>A: Yeah, it really helped to explode it into the limelight. There's over 1.5 million people completing in all-star cheerleading! <br>B: Wow that's a lot of people. I assume most are women. <br>",Cheerleading Cheerleading began during the late 18th century with the rebellion of male students.,"Well, it's interesting that Cheerleading began during the late 18th century. It's been going on since then!",1.0,No,y
1199,GPT2-xlarge,DBS,"A: I really enjoy a fun day of skiing! I don't do it competitively though. <br>B: water skiing or snow skiing? <br>A: Water skiing is my preferred type of skiing! I love being out on the water. <br>B: Oh ok what do they call it when you ski on one ski? <br>A: I'm not sure if I ever heard of skiing on only one ski, but I do know there is Asymmetrical skis that were used until 19th century Sweden. <br>B: Nice, I know very little about skiing what else can you tell me? <br>","Skiing Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.",Modern skiing has come a long way since the beginning of the 20th century.,0.666666667,No,y
1391,GPT2-xlarge,nucleus,"A: Have you ever had candy from Dylan's Candy Bar? It's to die for! They're a chain of boutique candy shops! <br>B: I don't think I have heard of them. I should probably check them out since I love candy! <br>A: There are currently locations in New York City, East Hampton, Los Angeles, Chicago and Miami Beach! Are you by one of those locations? <br>B: Oh my, I am quite far from all these places. But I visit NYC every summer so I will check it out next time! <br>A: The flagship location is the New York City store on 60th Street and 3rd Avenue! It's considered a must-see for many tourists and celebrities! <br>B: I see, I wonder what sort of famous candy they sell to attract celebrities! <br>","Dylan's Candy Bar It stocks 7,000 candies from around the world.","I believe they have a variety of candy from around the world, from gumballs to chocolates to nuts!",0.833333333,No,y
1074,GPT2-large,DBS,"A: Hi there! I'm an accountant - what do you do? <br>B: I'm an engineer, but I know some about accounting myself, like how modern accounting was established in 1494. <br>A: Yes, an old and noble profession, haha! What kind of engineering do you do? <br>B: I'm into computer engineering, so anything hardware and software related really. Also I know that ""accounting"" and ""financial reporting"" are used as synonyms, but are they any different? <br>A: Not really, although it depends who you ask sometimes. <br>","Accounting Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.","Yeah, accounting can be broken down into several different fields like financial, management, and tax.",1.0,No,y
572,GPT2-large,beam search,"A: I like to play outside in the sun with my dolls. Especially My Little Pony. <br>B: Hasbro developed little pony <br>A: Very true. Hasbro is a great toy company. <br>B: ""Cutie marks"" are referred as symbols <br>A: Oh really? Are they on the ponies? <br>","List of My Little Pony: Friendship Is Magic characters It features characters and settings developed by Lauren Faust, who sought to create more in-depth characters than the stereotypical ""girly"" icons used in previous iterations of the franchise.",No they are on the characters,0.166666667,Yes,y
490,GPT2-small,nucleus,"A: Hello, do you like puzzles? I enjoy crossword puzzles! <br>B: Yes I do. But I never seem to be able to think of all the words. <br>A: Well, you should try the cryptic crosswords. Each word is it's own puzzle. SO FUN! <br>B: Wow tell me more about this puzzle. Sounds interesting! <br>A: What's awesome about cryptic crosswords is they are usually called ""setters"" in the UK. <br>B: Oh I have to know why. I would like to know how to do this puzzle. <br>","Cryptic crossword Cryptic crossword puzzles come in two main types: the basic cryptic in which each clue answer is entered into the diagram normally, and ""themed"" or ""variety"" cryptics, in which some or all of the answers must be altered before entering, usually in accordance with a hidden pattern or rule which must be discovered by the solver.","Well, they are a little bit different. You have to enter the mystery into the diagram normally and then you can alter the answer.",0.333333333,Yes,y
1139,GPT2-medium,DBS,"A: I've always thought about trying hunting, but I've never gotten around to it. <br>B: Me either. I would only be willing to try it for its most common purposes, food or removing dangerous predators. <br>A: Same here, though a lot of people seem to do it for recreation right? <br>B: Yes, that's also a very common practice. Another common use is pest control. <br>A: That's true. Hunting has been around for a while, I'm sure. <br>","Hunting Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.",Hunting is different from poaching which is killing the hunted animal.,1.0,No,y
1879,GPT2-xlarge,beam search,"A: You know how to make coffee better? make it irish. <br>B: To make Irish coffee you just add whiskey, its really good, have you tried it? <br>A: I have, I thought I came up with it, turns out; I just have a drinking problem. <br>B: Well it depends on how much whisky you pour lol, I like my Irish coffee strong. <br>A: Did the irish really come up with Irish Coffee? <br>","Irish coffee Different variations of coffee cocktails pre-date the now-classic Irish coffee by at least 100 years, before Joe Sheridan, a head chef at the restaurant and coffee shop in the Foynes Airbase Flying boat terminal building, County Limerick played his part in 1942 or 1943 after a group of American passengers disembarked from a several-hour failed Atlantic crossing due to bad weather conditions on a Pan Am Clipper flying boat.",I'm not sure but different variations of Irish coffee have been around for a long time.,1.0,No,y
1888,GPT2-small,beam search,"A: Online shopping is the better experience to choose the the product on our desire. <br>B: Yes! I much prefer shopping online at home on the Internet rather than fighting crowds in an actual store. <br>A: what did you often purchase? <br>B: Anything and everything! Housewares, clothing, electronics, you name it! I like the convenience of browsing stores on my laptop, tablet computer and smartphone! <br>A: yes, it includes lot of choices <br>","Online shopping Online stores typically enable shoppers to use ""search"" features to find specific models, brands or items.","Yes, online shopping enables shoppers to search for specific models and brands.",0.833333333,No,y
1140,GPT2-large,nucleus,A: I drink protein powder with nothing but water. Before powders athletes in Greece ate meat and drank wine. <br>B: Oh that's cool. Did they do anything else interesting? <br>A: A lot of herbal concoctions were used to help with strength and stamina. <br>B: Were there any other herbal uses? <br>A: I'm not really sure. Bodybuilding has been around for a long time. Eugen Sandow was the first in the West. <br>B: Cool! Anything else you can tell me about Eugen Sandow? <br>,"Eugen Sandow He left Prussia in 1885 to avoid military service and traveled throughout Europe, becoming a circus athlete and adopting Eugen Sandow as his stage name.",He was born in Prussia and traveled throughout Europe.,0.666666667,Yes,y
